Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
70,WC7I,442.475000,-,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
71,KC7CKO,443.075000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
72,WB7DPF,443.525000,-,5.000000,Tone,173.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
73,W7USJ,443.800000,-,5.000000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
74,W7WO,444.275000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
75,N7XAC,444.950000,-,5.000000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
76,K7CH,440.650000,-,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
77,W7UVH,441.925000,-,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
78,N7SK,443.250000,-,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
79,AB7F,443.275000,-,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
80,K7KFM,443.450000,-,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
81,AB7F,444.875000,-,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
82,KB7WVX,444.975000,-,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
83,W7DK,440.625000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
84,K7EK,441.375000,-,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
